"","Name","Department","City","Point_Type","Type","Cost","Period","Quota","Rank","Base_Score","Summary","Latitude","Longitude"
"1","KOÇ ÜNİVERSİTESİ","İngiliz Dili ve Karşılaştırmalı Edebiyat","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",553,511.42297,"İngilizce  Burslu DİL-1 ",41.2053107,29.0724578
"2","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",1481,486.68412,"İng-Fra-Türkçe  Burslu DİL-1 ",39.8746147,32.7475962
"3","BOĞAZİÇİ ÜNİVERSİTESİ","Çeviribilim","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",1801,480.72585,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"4","BOĞAZİÇİ ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",2325,472.15605,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"5","BOĞAZİÇİ ÜNİVERSİTESİ","Dilbilim","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",2764,465.67648,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"6","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",2883,463.96165,"İngilizce  Burslu DİL-1 ",39.8746147,32.7475962
"7","İZMİR EKONOMİ ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",2969,462.50798,"İngilizce  Burslu DİL-1 ",38.3882924,27.0450757
"8","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",3041,461.36184,"İngilizce  Burslu DİL-1 ",39.8746147,32.7475962
"9","BOĞAZİÇİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","90 + 3",3318,457.75783,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"10","İSTANBUL BİLGİ ÜNİVERSİTESİ","Karşılaştırmalı Edebiyat","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",3434,456.59871,"İngilizce  Burslu DİL-1 ",41.0671816,28.9455079
"11","İSTANBUL BİLGİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",3491,455.78815,"İngilizce  Burslu DİL-1 ",41.0671816,28.9455079
"12","YEDİTEPE ÜNİVERSİTESİ","Çeviribilim","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","8 + 0",3493,455.77867,"İngilizce  Burslu DİL-1 ",40.973041,29.152844
"13","GALATASARAY ÜNİVERSİTESİ","Fransız Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","30 + 1",3613,454.59109,"Ücretsiz DİL-1 ",41.0459897,29.0198998
"14","HACETTEPE ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","70 + 2",3617,454.55425,"İngilizce Ücretsiz DİL-1 ",39.8675202,32.734754
"15","ÇANKAYA ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",3669,453.956,"İngilizce  Burslu DİL-1 ",39.81851,32.56252
"16","YEDİTEPE ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",3671,453.94085,"İngilizce  Burslu DİL-1 ",40.973041,29.152844
"17","YAŞAR ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",3793,452.73203,"İngilizce  Burslu DİL-1 ",38.4547694,27.2018191
"18","DOĞU AKDENİZ ÜNİVERSİTESİ","Mütercim-Tercümanlık","KKTC-GAZİMAĞUSA","DiL","KKTC","Burslu/İndirimli","Gündüz","3 + 0",3833,452.31793,"İngilizce  Burslu DİL-1 ",35.1423793,33.9116479
"19","İSTANBUL 29 MAYIS ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",3940,451.1258,"İngilizce  Burslu DİL-1 ",41.0337946,29.102576
"20","İSTANBUL ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",4062,449.93689,"İngilizce Ücretsiz DİL-1 ",41.0126037,28.961838
"21","İSTANBUL ŞEHİR ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",4143,449.23494,"İngilizce  Burslu ",40.9050947,29.1561852
